Nome estacao,Nr Rack,Area Linha Separaçao,Linha,Coluna,Codigo Material,Conferencia Obrigatoria
COLMÉIA,1,2,25,M,82549,0
COLMÉIA,1,2,25,N,82552,0
COLMÉIA,1,2,25,O,75757,0
COLMÉIA,1,2,25,P,59046,0
COLMÉIA,1,2,25,Q,81602,0
COLMÉIA,1,2,25,R,57438,0
COLMÉIA,1,2,25,S,85667,0
COLMÉIA,1,2,25,T,51383,0
COLMÉIA,1,2,26,A,86121,0
COLMÉIA,1,2,26,B,30014,0
COLMÉIA,1,2,26,C,82239,0
COLMÉIA,1,2,26,D,50250,0
COLMÉIA,1,2,26,E,57582,0
COLMÉIA,1,2,26,F,59039,0
COLMÉIA,1,2,26,G,30019,0
COLMÉIA,1,2,26,H,82495,0
COLMÉIA,1,2,26,I,82493,0
COLMÉIA,1,2,26,J,81608,0
COLMÉIA,1,2,26,K,30007,0
COLMÉIA,1,2,26,L,54229,0
COLMÉIA,1,2,26,M,81610,0
COLMÉIA,1,2,26,N,51281,0
COLMÉIA,1,2,26,O,52037,0
COLMÉIA,1,2,26,P,81621,0
COLMÉIA,1,2,26,Q,88017,0
COLMÉIA,1,2,26,R,76824,0
COLMÉIA,1,2,26,S,09589,0
COLMÉIA,1,2,26,T,81640,0
COLMÉIA,1,2,27,A,56051,0
COLMÉIA,1,2,27,B,58566,0
COLMÉIA,1,2,27,C,50251,0
COLMÉIA,1,2,27,D,50253,0
COLMÉIA,1,2,27,E,90093,0
COLMÉIA,1,2,27,F,81612,0
COLMÉIA,1,2,27,G,55207,0
COLMÉIA,1,2,27,H,59050,0
COLMÉIA,1,2,27,I,84867,0
COLMÉIA,1,2,27,J,51180,0
COLMÉIA,1,2,27,K,94233,0
COLMÉIA,1,2,27,L,84926,0
COLMÉIA,1,2,27,M,86339,0
COLMÉIA,1,2,27,N,86355,0
COLMÉIA,1,2,27,O,81644,0
COLMÉIA,1,2,27,P,52814,0
COLMÉIA,1,2,27,Q,84878,0
COLMÉIA,1,2,27,R,52805,0
COLMÉIA,1,2,27,S,01789,0
COLMÉIA,1,2,27,T,75372,0
COLMÉIA,1,2,28,A,55595,0
COLMÉIA,1,2,28,B,58628,0
COLMÉIA,1,2,28,C,30015,0
COLMÉIA,1,2,28,D,59042,0
COLMÉIA,1,2,28,E,82544,0
COLMÉIA,1,2,28,F,58441,0
